SMILES,predicted_proxy,novelty,MW
CCOP(=O)(OCC)c1nc(C(=O)O)nc(-c2ccccc2)n1,0.2518,0.5610,337.27
O=C(O)c1nc(O)nc(-c2ccccc2)n1,0.2517,0.6207,217.18
O=S(=O)(O)c1ccccc1,0.2514,0.4211,158.18
Cc1ccccc1P(=O)(O)O,0.2513,0.5600,172.12
Nc1cc(C(=O)O)cc(P(=O)(O)O)c1,0.2512,0.6207,217.12
O=C(O)c1nc(O)nc(OP(=O)(O)O)n1,0.2511,0.7568,237.06
Nc1nc(C(=O)O)nc(P(=O)(O)O)n1,0.2507,0.7308,220.08
Cc1cc(C)cc(P(=O)(O)O)c1,0.2505,0.5833,186.15
N#Cc1ccc2ccccc2c1,0.2501,0.5714,153.18
Nc1nc(C(=O)O)nc(-c2ccccc2)n1,0.2493,0.6333,216.20
Cc1cc(OP(=O)(O)O)cc(S(=O)(=O)O)c1,0.2493,0.7368,268.18
CCOP(=O)(OCC)c1ccc(N)cc1,0.2492,0.3571,229.22
Cc1cc(C#N)cc(P(=O)(O)O)c1,0.2488,0.6875,197.13
O=C(O)c1cc(O)cc(P(=O)(O)O)c1,0.2484,0.6207,218.10
Cc1nc(C)nc(P(=O)(O)O)n1,0.2483,0.7000,189.11
Cc1ccc(P(=O)(O)O)cc1,0.2482,0.4545,172.12
O=C(O)c1cc(OP(=O)(O)O)cc(OP(=O)(O)O)c1,0.2480,0.6452,314.08
Nc1nc(OP(=O)(O)O)nc(C(=O)O)n1,0.2480,0.7586,236.08
N#Cc1nc(C#N)nc(-c2ccccc2)n1,0.2476,0.6522,207.20
O=C(O)c1cc(OP(=O)(O)O)cc(S(=O)(=O)O)c1,0.2475,0.7105,298.17
N#Cc1nc(C#N)nc(OP(=O)(O)O)n1,0.2474,0.7714,227.08
Cc1cc(N)cc(OP(=O)(O)O)c1,0.2471,0.7143,203.13
CCOP(=O)(OCC)c1ccc(OP(=O)(O)O)cc1,0.2468,0.4375,310.18
CCOP(=O)(OCC)c1ccc(P(=O)(O)O)cc1,0.2467,0.3571,294.18
CCOP(=O)(OCC)c1ccccc1-c1ccccc1,0.2463,0.4375,290.30
O=C(O)c1ccccc1OP(=O)(O)O,0.2460,0.5000,218.10
Cc1nc(C#N)nc(P(=O)(O)O)n1,0.2459,0.7857,200.09
N#Cc1cc(C#N)cc(OP(=O)(O)O)c1,0.2453,0.6970,224.11
O=S(=O)(O)c1cc(O)cc(O)c1,0.2443,0.7600,190.18
O=C(O)c1ccccc1P(=O)(O)O,0.2441,0.4348,202.10
O=C(O)c1ccc(P(=O)(O)O)cc1,0.2441,0.4000,202.10
O=S(=O)(O)c1ccc(O)cc1,0.2438,0.7083,174.18
